Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Tyler Naquin ^8,  9.00,"$3,100",CLE,@ kan, 9-3,  1/3 2R HBP 
 Alex Blandino ,  9.00,"$2,700",CIN,v chw, 5-3,  1/1 2RBI 2B 
 Jeimer Candelario ^3,  9.00,N/A,DET,@ tor, 3-2(F10),  3/4 CS 
 Eric Thames ^2,  8.00,"$5,000",MIL,v min, 6-5(F10),  2/4 BB SO 
 D.J. LeMahieu ^1,  8.00,"$4,500",COL,v sfo, 5-2,  2/5 R 
 Adam Eaton ^1,  8.00,"$4,000",WAS,v bos, 3-4,  2/4 BB SO 
 Jorge Bonifacio ^6,  8.00,"$3,200",KAN,v cle, 3-9,  2/4 RBI 
 Jordy Mercer ^8,  8.00,"$3,000",PIT,@ lad, 1-17,  2/3 2B 
 Omar Narvaez ^6,  8.00,"$2,900",CHW,@ cin, 3-5,  2/4 2B 
 Charlie Blackmon ^2,  7.00,"$5,400",COL,v sfo, 5-2,  1/4 R RBI SO SF 
 Matt Carpenter ^1,  7.00,"$4,800",STL,@ ari, 6-3,  1/5 R 2B 2SO 
 Mike Moustakas ^3,  7.00,"$4,100",KAN,v cle, 3-9,  1/4 R 2B SO 
 Brian Dozier ^3,  7.00,"$4,000",MIN,@ mil, 5-6(F10),  1/5 R RBI 2SO 
 Tommy Murphy ,  7.00,"$3,700",COL,v sfo, 5-2,  1/1 RBI 2B 
 Adam Duvall ,  7.00,"$3,400",CIN,v chw, 5-3,  1/2 R RBI 
 Curtis Granderson ^1,  7.00,N/A,TOR,v det, 2-3(F10),  1/3 R BB SO S 
 Nick Castellanos ^2,  7.00,N/A,DET,@ tor, 3-2(F10),  1/4 2R SO 
 Max Kepler ^7,  6.00,"$3,200",MIN,@ mil, 5-6(F10),  2/4 SO 
 Wilmer Difo ^7,  6.00,"$3,000",WAS,v bos, 3-4,  2/4 2SO 
 Willians Astudillo ^6,  6.00,"$2,900",MIN,@ mil, 5-6(F10),  2/4 E 
 Brandon Belt ^2,  5.00,"$5,400",SFO,@ col, 2-5,  1/4 R 
 Eddie Rosario ^2,  5.00,"$5,000",MIN,@ mil, 5-6(F10),  1/5 R 3SO 
 Michael Brantley ^2,  5.00,"$4,500",CLE,@ kan, 9-3,  1/4 RBI SF 
 Jake Lamb ^3,  5.00,"$4,300",ARI,v stl, 3-6,  1/4 RBI 
 Didi Gregorius ^3,  5.00,"$4,300",NYY,v atl, 3-5(F11),  1/5 RBI SO SF 
 Carlos Gonzalez ^7,  5.00,"$4,100",COL,v sfo, 5-2,  1/4 R 2SO 
 Mitch Moreland ^4,  5.00,"$4,000",BOS,@ was, 4-3,  1/4 R 2SO 
 Miguel Andujar ^6,  5.00,"$3,900",NYY,v atl, 3-5(F11),  1/4 BB 
 Wilson Ramos ^4,  5.00,"$3,900",TAM,@ mia, 2-3(F10),  1/4 2B 
 Gregory Bird ^7,  5.00,"$3,900",NYY,v atl, 3-5(F11),  1/4 BB 2SO 
 Tyler O'Neill ^3,  5.00,"$3,600",STL,@ ari, 6-3,  1/4 R SO 
 Jon Jay ^1,  5.00,"$3,600",ARI,v stl, 3-6,  1/4 R SO 
 Joe Mauer ^1,  5.00,"$3,500",MIN,@ mil, 5-6(F10),  1/5 2B E 
 Salvador Perez ^4,  5.00,"$3,400",KAN,v cle, 3-9,  1/4 RBI 
 Jonathan Villar ,  5.00,"$3,300",MIL,v min, 6-5(F10),  1/1 R 
 Rosell Herrera ^2,  5.00,"$3,100",KAN,v cle, 3-9,  1/4 R 
 Adam Engel ^8,  5.00,"$3,000",CHW,@ cin, 3-5,  1/3 R SO S 
 Daniel Robertson ^3,  5.00,"$3,000",TAM,@ mia, 2-3(F10),  1/4 R 
 Logan Forsythe ,  5.00,"$2,900",LAD,v pit, 17-1,  1/2 R 
 Noel Cuevas ^8,  5.00,"$2,800",COL,v sfo, 5-2,  1/4 R 
 Yadiel Rivera ,  5.00,"$2,700",MIA,v tam, 3-2(F10),  1/1 RBI 
 Pat Valaika ,  5.00,"$2,600",COL,v sfo, 5-2,  1/1 R 
 Randal Grichuk ^2,  5.00,N/A,TOR,v det, 2-3(F10),  1/5 2B 3SO 
 Victor Martinez ^5,  5.00,N/A,DET,@ tor, 3-2(F10),  1/4 RBI SO 
 John Hicks ^4,  5.00,N/A,DET,@ tor, 3-2(F10),  1/4 RBI SO 
 Jose Peraza ^7,  4.00,"$4,500",CIN,v chw, 5-3,  0/3 R BB 
 Tucker Barnhart ^2,  4.00,"$3,800",CIN,v chw, 5-3,  0/3 2BB 
 Brett Gardner ^1,  4.00,"$3,700",NYY,v atl, 3-5(F11),  0/4 2BB SO 
 Brian Anderson ^2,  4.00,"$3,600",MIA,v tam, 3-2(F10),  0/4 R BB SO 
 Nick Ahmed ^8,  4.00,"$3,400",ARI,v stl, 3-6,  0/3 R BB 2SO 
 Justin Smoak ,  4.00,N/A,TOR,v det, 2-3(F10),  RBI BB 
 Giancarlo Stanton ^4,  3.00,"$5,000",NYY,v atl, 3-5(F11),  1/5 3SO 
