Rank,Name,Team,Position,Opponent,HomeOrAway,BattingOrder,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,Walks,Strikeouts,StolenBases,CaughtStealing,BattingAverage,OnBasePercentage,FantasyPointsDraftKings
268,Guillermo Heredia,SEA,CF,BOS,AWAY,8,3.44,0.4,0.8,0.17,0.02,0.07,0.33,0.34,0.65,0.03,0.03,0.333,0.25,5.76
269,Jeff Mathis,ARI,C,PIT,AWAY,8,3.44,0.42,0.82,0.17,0.02,0.07,0.34,0.31,1.05,0.03,0.01,0.333,0.25,5.72
270,Chris Davis,BAL,1B,ATL,AWAY,7,3.46,0.39,0.7,0.16,0.01,0.11,0.41,0.35,1.38,0.02,0.01,0.333,0.25,5.7
271,Josh Phegley,OAK,C,CHW,AWAY,9,3.38,0.42,0.75,0.18,0.01,0.09,0.37,0.26,0.68,0.02,0.02,0.333,0.25,5.59
272,Cameron Rupp,PHI,C,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Maikel Franco,PHI,3B,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Pedro Florimon,PHI,CF,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Aaron Altherr,PHI,RF,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Jorge Alfaro,PHI,C,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Roman Quinn,PHI,CF,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Hyun Soo Kim,PHI,LF,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,J.P. Crawford,PHI,3B,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Dylan Cozens,PHI,RF,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Mitch Walding,PHI,3B,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Andrew Anderson,PHI,null,WSH,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Matt Wieters,WSH,C,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Adam Eaton,WSH,RF,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Howie Kendrick,WSH,LF,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Matt Adams,WSH,1B,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Mark Reynolds,WSH,1B,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Brian Goodwin,WSH,CF,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Jayson Werth,WSH,LF,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Ryan Zimmerman,WSH,1B,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Jhonatan Solano,WSH,C,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Spencer Kieboom,WSH,C,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Matt Reynolds,WSH,3B,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Adrian Sanchez,WSH,2B,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Victor Robles,WSH,CF,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Andrew Stevenson,WSH,CF,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Jose Marmolejos,WSH,null,PHI,HOME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Chris Owings,ARI,CF,PIT,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Socrates Brito,ARI,CF,PIT,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,A.J. Pollock,ARI,CF,PIT,AWAY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
