Willy Adames,3800,TBR,2B/SS,BAL,,0,5.56
Daniel Robertson,4100,TBR,2B/SS,BAL,,0,6.67
Adam Jones,3800,BAL,OF,TBR,,0.72,6.94
Jonathan Schoop,4200,BAL,2B,TBR,,0.999,7.62
Chris Davis,3100,BAL,1B,TBR,,0.999,7.16
Mallex Smith,4800,TBR,OF,BAL,,0.999,6.74
Jakob Bauers,4600,TBR,1B/OF,BAL,,0.761,8.3
Matt Duffy,4200,TBR,3B,BAL,,0.999,5.78
Tim Beckham,3600,BAL,3B,TBR,,0.726,7.31
C.J. Cron,4600,TBR,1B,BAL,,0.753,7.72
Whit Merrifield,4000,KCR,2B/OF,NYY,,0.999,6.96
