Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Brian Anderson,$3.5K,R,MIA,3B/OF,NYM,2 ,Corey Oswalt,R, ,,,,,600,-25,8.5,-103,4.18,1.12,223,0.291,0.332,0.094,0.361,0.386,0.747,20.40,8.40,0.368,7.93,2.27
Steve Pearce,$3.5K,R,BOS,1B/OF,@ NYY,4 ,CC Sabathia,L,,,,,,1000,-39,9.5,104,4.63,0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.88,2.25
Giancarlo Stanton,$4.8K,R,NYY,OF,BOS,3 ,Eduardo Rodriguez,L,,,,,,300,9,9.5,-117,4.87,0.23,77,0.351,0.493,0.468,0.395,0.818,1.213,26.40,9.20,0.370,10.77,2.24
Joseph Wendle,$2.8K,L,TBR,2B,HOU,6 ,Gerrit Cole,R,,,,,,700,8,7.0,166,2.93,-0.05,192,0.255,0.281,0.089,0.295,0.344,0.639,23.10,4.80,0.324,6.23,2.23
Russell Martin,$3.0K,R,TOR,C,DET,7 ,Francisco Liriano,L,,,,,,600,-23,9.0,-187,5.24,0.36,41,0.171,0.263,0.024,0.320,0.195,0.515,25.50,17.60,0.250,6.7,2.23
Leury Garcia,$3.4K,S,CHW,OF,@ TEX,6 ,Yovani Gallardo,R,,,,,,1300,-16,10.5,125,4.87,-0.05,100,0.260,0.288,0.09,0.295,0.350,0.645,21.50,3.70,0.320,7.57,2.23
Adam Jones,$3.7K,R,BAL,OF,LAA,2 ,Felix Pena,R, ,,,,,900,2,10.0,134,4.53,-0.04,223,0.278,0.333,0.193,0.308,0.471,0.779,18.00,3.00,0.306,8.2,2.22
Nomar Mazara,$4.2K,L,TEX,OF,CHW,3 ,Dylan Covey,R,,,,,,900,4,10.5,-137,5.63,0.05,196,0.286,0.350,0.173,0.343,0.459,0.802,17.60,9.50,0.318,9.32,2.22
Matt Joyce,$3.2K,L,OAK,OF,CLE,2 ,Trevor Bauer,R,,,,,,600,12,8.0,161,3.39,-0.07,166,0.205,0.298,0.157,0.302,0.361,0.663,23.60,13.80,0.241,7.1,2.22
Robbie Grossman,$3.0K,S,MIN,OF,@ CHC,5 ,Mike Montgomery,L,,,,,,500,12,9.5,110,4.57,4.57,56,0.214,0.269,0.107,0.286,0.321,0.607,24.20,9.70,0.268,6.65,2.22
Patrick Valaika,$2.6K,R,COL,1B/2B,@ LAD,8 ,Rich Hill,L,,,,,,600,16,7.5,140,3.34,0.02,37,0.135,0.189,0.081,0.179,0.216,0.395,25.00,7.50,0.185,5.76,2.22
Dee Gordon,$4.2K,L,SEA,2B/OF,KCR,1 ,Ian Kennedy,R,,,,,,600,3,8.0,-199,4.71,-0.09,209,0.278,0.280,0.067,0.296,0.344,0.640,15.50,1.80,0.326,9.33,2.22
Alen Hanson,$3.5K,S,SFG,2B/3B,@ ARI,1 ,Patrick Corbin,L,,,,,,900,3,7.0,116,3.3,-0.39,27,0.185,0.210,0.074,0.226,0.259,0.485,19.40,6.50,0.217,7.74,2.21
Gleyber Torres,$3.7K,R,NYY,2B,BOS,5 ,Eduardo Rodriguez,L,,,,,, ,12,9.5,-117,4.87,0.23,56,0.321,0.410,0.268,0.377,0.589,0.966,21.00,9.70,0.359,8.17,2.21
Eric Hosmer,$4.0K,L,SDP,1B,PIT,3 ,Joe Musgrove,R,,,,,,1000, ,7.5,-102,3.69,-0.36,204,0.294,0.361,0.181,0.357,0.475,0.832,22.20,11.30,0.363,8.83,2.21
Justin Turner,$3.7K,R,LAD,3B,COL,3 ,Tyler Anderson,L,,,,,,100,6,7.5,-158,4.16,-0.02,31,0.323,0.425,0.161,0.476,0.484,0.960,9.30,23.30,0.333,8.15,2.2
Jonathan Schoop,$3.4K,R,BAL,2B,LAA,7 ,Felix Pena,R, ,,,,,800,6,10.0,134,4.53,-0.04,170,0.188,0.252,0.182,0.219,0.371,0.590,24.00,2.80,0.213,7.48,2.2
Ian Kinsler,$3.8K,R,LAA,2B,@ BAL,7 ,David Hess,R, ,,,,,700,3,10.0,-149,5.47,0.04,202,0.228,0.314,0.203,0.298,0.431,0.729,10.70,8.40,0.212,8.34,2.19
Andrew McCutchen,$4.0K,R,SFG,OF,@ ARI,3 ,Patrick Corbin,L,,,,,,500,13,7.0,116,3.3,-0.39,107,0.280,0.358,0.196,0.342,0.477,0.819,22.70,9.20,0.351,8.72,2.18
Mitch Garver,$2.9K,R,MIN,C,@ CHC,7 ,Mike Montgomery,L,,,,,,500,-20,9.5,110,4.57,4.57,43,0.163,0.195,0.047,0.217,0.209,0.426,23.90,8.70,0.219,6.32,2.18
Kevin Kiermaier,$3.2K,L,TBR,OF,HOU,1 ,Gerrit Cole,R,,,,,,800, ,7.0,166,2.93,-0.05,49,0.184,0.255,0.061,0.298,0.245,0.543,31.60,12.30,0.290,6.96,2.18
Yoan Moncada,$4.5K,S,CHW,2B,@ TEX,1 ,Yovani Gallardo,R,,,,,,1100,-2,10.5,125,4.87,-0.05,220,0.250,0.336,0.214,0.315,0.464,0.779,35.40,8.60,0.363,9.79,2.18
Starlin Castro,$3.6K,R,MIA,2B,NYM,5 ,Corey Oswalt,R, ,,,,,800,4,8.5,-103,4.18,1.12,239,0.280,0.309,0.126,0.307,0.406,0.713,19.50,5.10,0.333,7.74,2.15
Kolten Wong,$2.8K,L,STL,2B,ATL,7 ,Julio Teheran,R,,,,,,200,17,8.5,-132,4.5,-0.14,151,0.199,0.299,0.166,0.301,0.364,0.665,16.90,7.30,0.209,6.02,2.15
Marwin Gonzalez,$3.3K,S,HOU,1B/OF,@ TBR,5 ,Wilmer Font,R,,,,,,900,15,7.0,-189,4.07,0.05,165,0.224,0.310,0.164,0.310,0.388,0.698,26.90,11.90,0.287,7.08,2.15
Freddy Galvis,$2.9K,S,SDP,SS,PIT,7 ,Joe Musgrove,R,,,,,,600,-2,7.5,-102,3.69,-0.36,212,0.231,0.275,0.094,0.294,0.325,0.619,22.40,8.90,0.294,6.2,2.14
Cory Spangenberg,$3.4K,L,SDP,2B/3B,PIT,5 ,Joe Musgrove,R,,,,,,1100,-2,7.5,-102,3.69,-0.36,135,0.244,0.295,0.156,0.282,0.400,0.682,30.30,3.50,0.322,7.25,2.13
Ehire Adrianza,$3.2K,S,MIN,SS,@ CHC,8 ,Mike Montgomery,L,,,,,,700,-2,9.5,110,4.57,4.57,51,0.314,0.353,0.137,0.364,0.451,0.815,28.60,7.10,0.457,6.81,2.13
Jose Abreu,$4.4K,R,CHW,1B,@ TEX,3 ,Yovani Gallardo,R, ,,,,,1000,-1,10.5,125,4.87,-0.05,250,0.268,0.328,0.192,0.303,0.460,0.763,17.50,5.80,0.296,9.35,2.13
Todd Frazier,$3.5K,R,NYM,3B,@ MIA,6 ,Sandy Alcantara,R, ,,,,,800,-1,8.5,-110,4.32,0.38,146,0.233,0.309,0.164,0.310,0.397,0.707,22.00,10.10,0.262,7.46,2.13
Josh Reddick,$3.6K,L,HOU,OF,@ TBR,3 ,Wilmer Font,R,,,,,,900,3,7.0,-189,4.07,0.05,139,0.266,0.326,0.108,0.354,0.374,0.728,14.70,12.90,0.292,7.62,2.12
Elias Diaz,$3.3K,R,PIT,C,@ SDP,5 ,Eric Lauer,L,,,,,,800,-25,7.5,-112,3.81,-0.14,33,0.424,0.468,0.212,0.457,0.636,1.093,5.70,5.70,0.414,6.97,2.11
Jason Heyward,$3.6K,L,CHC,OF,MIN,2 ,Jose Berrios,R,,,,,,700,14,9.5,-122,4.93,4.93,175,0.291,0.342,0.154,0.344,0.446,0.790,10.40,7.80,0.312,7.51,2.09
Ketel Marte,$3.7K,S,ARI,2B/SS,SFG,5 ,Andrew Suarez,L,,,,,,800,3,7.0,-133,3.7,-0.61,100,0.300,0.371,0.22,0.352,0.520,0.872,9.30,7.40,0.318,7.7,2.08
Anthony Rendon,$4.3K,R,WAS,3B,@ PHI,4 ,Nick Pivetta,R, ,,,,,600, ,9.0,103,4.4,0.05,165,0.267,0.340,0.194,0.328,0.461,0.789,15.30,9.30,0.280,8.95,2.08
Aaron Hicks,$4.1K,S,NYY,OF,BOS,1 ,Eduardo Rodriguez,L,,,,,,500,13,9.5,-117,4.87,0.23,65,0.262,0.369,0.277,0.329,0.538,0.867,20.30,10.80,0.277,8.54,2.08
Victor Martinez,$3.0K,S,DET,1B,@ TOR,4 ,Marcus Stroman,R,,,,,,600,4,9.0,170,3.76,0.14,188,0.239,0.272,0.080,0.291,0.319,0.610,10.00,8.10,0.256,6.24,2.08
